Section,Section Title,Lecture #,Lecture Title,Published,Description,Video,Video & Slide Mashup,Article,Content Uploaded,Captions,Resources,Lab
Unpublished Section,Katakana - Special Characters & Advanced Writing,-,"Katakana Special Characters: Long Vowels, Double Consonants & Combinations",No,Yes,No,No,No,No,No,No,No
Section 1,Introduction,-,Katakana Mastery Quiz: Read & Write Full Katakana Chart,No,Yes,No,No,No,No,No,No,No
Section 1,Introduction,1,Welcome to the Course,Yes,Yes,No,No,No,No,No,Yes,No
Section 1,Introduction,2,Overview of the Japanese Language & Course Structure,Yes,Yes,No,No,No,No,No,Yes,No
Section 1,Introduction,3,How to Use This Course & Study Tips,Yes,Yes,No,No,No,No,No,Yes,No
Section 1,Introduction,-,"Reading Real Loanwords: Food, Technology, Fashion & Daily Life",No,Yes,No,No,No,No,No,No,No
Section 2,Hiragana - The Foundation of Japanese Writing,4,"Hiragana: K, S, T, N Rows with Mnemonics",Yes,Yes,No,No,No,No,No,Yes,No
Section 2,Hiragana - The Foundation of Japanese Writing,5,"Introduction to Hiragana: Vowels (a, i, u, e, o)",Yes,Yes,No,No,No,No,No,Yes,No
Section 2,Hiragana - The Foundation of Japanese Writing,6,"Hiragana: H, M, Y, R, W Rows & Full Chart Review",Yes,Yes,No,No,No,No,No,Yes,No
Section 2,Hiragana - The Foundation of Japanese Writing,7,"Dakuten, Handakuten & Combination Hiragana Characters",Yes,Yes,No,No,No,No,No,Yes,No
Section 2,Hiragana - The Foundation of Japanese Writing,8,Hiragana Mastery Quiz: Read & Write Full Hiragana,Yes,Yes,No,No,No,No,No,Yes,No
Section 3,Katakana - Reading Foreign Words & Loanwords,9,Introduction to Katakana & How It Differs from Hiragana,Yes,Yes,No,No,No,No,No,Yes,No
Section 3,Katakana - Reading Foreign Words & Loanwords,10,Katakana: All Rows with Mnemonics & Stroke Order,Yes,Yes,No,No,No,No,No,Yes,No
Section 3,Katakana - Reading Foreign Words & Loanwords,11,Katakana Special Characters: Long Vowels & Double Consonants,Yes,Yes,No,No,No,No,No,Yes,No
Section 3,Katakana - Reading Foreign Words & Loanwords,12,Reading Real Loanwords in Daily Life & Media,Yes,Wrong,No,No,No,No,No,Yes,No
Section 3,Katakana - Reading Foreign Words & Loanwords,13,Katakana Mastery Quiz: Full Chart Reading & Writing Test,Yes,Yes,No,No,No,No,No,Yes,No
Section 4,Basic Grammar & Japanese Sentence Structure,14,Japanese Sentence Order: Subject-Object-Verb (SOV) Structure,Yes,Yes,No,No,No,No,No,Yes,No
Section 4,Basic Grammar & Japanese Sentence Structure,15,"Verb Groups: U-Verbs, Ru-Verbs & Irregular Verbs",Yes,Yes,No,No,No,No,No,Yes,No
Section 4,Basic Grammar & Japanese Sentence Structure,16,Adjectives: I-Adjectives vs. Na-Adjectives in Sentences,Yes,Wrong,No,No,No,No,No,Yes,No
Section 4,Basic Grammar & Japanese Sentence Structure,17,"Essential Particles: は, が, を, に, で, と, へ, の, も",Yes,Yes,No,No,No,No,No,Yes,No
Section 4,Basic Grammar & Japanese Sentence Structure,18,Grammar Practice: Building Simple Sentences & Common Patterns Quiz,Yes,Yes,No,No,No,No,No,Yes,No
Section 5,"Numbers, Time & Dates in Japanese",19,"Japanese Numbers 1-10,000: Counting Systems & Kanji Numbers",Yes,Yes,No,No,No,No,No,Yes,No
Section 5,"Numbers, Time & Dates in Japanese",20,"Japanese Counters: Counting People, Objects, Animals & More",Yes,Yes,No,No,No,No,No,Yes,No
Section 5,"Numbers, Time & Dates in Japanese",21,"Telling Time in Japanese: Hours, Minutes & Daily Schedule",Yes,Yes,No,No,No,No,No,Yes,No
Section 5,"Numbers, Time & Dates in Japanese",22,"Days, Weeks, Months & Dates: Japanese Calendar System",Yes,Yes,No,No,No,No,No,Yes,No
Section 5,"Numbers, Time & Dates in Japanese",23,"Numbers & Time Practice: Scheduling, Shopping Prices & Age",Yes,Yes,No,No,No,No,No,Yes,No
Section 6,Essential Vocabulary for Everyday Life,24,"Greetings, Introductions & Polite Expressions",Yes,Yes,No,No,No,No,No,Yes,No
Section 6,Essential Vocabulary for Everyday Life,25,Food & Drink: Ordering at Restaurants & Cafes,Yes,Yes,No,No,No,No,No,Yes,No
Section 6,Essential Vocabulary for Everyday Life,26,"Shopping, Prices & Directions: Getting Around Japan",Yes,Yes,No,No,No,No,No,Yes,No
Section 6,Essential Vocabulary for Everyday Life,27,"Family, Relationships & Describing People",Yes,Yes,No,No,No,No,No,Yes,No
Section 6,Essential Vocabulary for Everyday Life,28,"Transportation, Weather & Hobbies Vocabulary Review Quiz",Yes,Yes,No,No,No,No,No,Yes,No
Section 7,Kanji Foundations: JLPT N5 Essential Characters,29,"What is Kanji? Radicals, Readings (On/Kun) & Stroke Order",Yes,Yes,No,No,No,No,No,Yes,No
Section 7,Kanji Foundations: JLPT N5 Essential Characters,30,"JLPT N5 Kanji Set 1: Basic Nouns - Person, Mountain, River, Day",Yes,Yes,No,No,No,No,No,Yes,No
Section 7,Kanji Foundations: JLPT N5 Essential Characters,31,"JLPT N5 Kanji Set 2: Time, Direction & Numbers in Kanji",Yes,Yes,No,No,No,No,No,Yes,No
Section 7,Kanji Foundations: JLPT N5 Essential Characters,32,JLPT N5 Kanji Set 3: Action & Descriptive Kanji for Daily Use,Yes,Yes,No,No,No,No,No,Yes,No
Section 7,Kanji Foundations: JLPT N5 Essential Characters,33,Kanji N5 Mastery Quiz: Read & Write 80 Essential Characters,Yes,Yes,No,No,No,No,No,Yes,No
Section 8,"Intermediate Grammar: Verb Tenses, Negation & Conditionals",34,"Verb Tenses: Present, Past, Progressive & Potential Forms",Yes,Yes,No,No,No,No,No,Yes,No
Section 8,"Intermediate Grammar: Verb Tenses, Negation & Conditionals",35,"Negative Forms: Denying Actions, States & Existence",Yes,Yes,No,No,No,No,No,Yes,No
Section 8,"Intermediate Grammar: Verb Tenses, Negation & Conditionals",36,"Conditional Forms: If-Then Statements with -tara, -ba & -to",Yes,Yes,No,No,No,No,No,Yes,No
Section 8,"Intermediate Grammar: Verb Tenses, Negation & Conditionals",37,"Giving & Receiving: Ageru, Morau, Kureru in Context",Yes,Yes,No,No,No,No,No,Yes,No
Section 8,"Intermediate Grammar: Verb Tenses, Negation & Conditionals",38,Intermediate Grammar Practice: Complex Sentence Building Quiz,Yes,Yes,No,No,No,No,No,Yes,No
Section 9,Everyday Conversations & Real-Life Situations,39,At the Airport & Train Station: Travel Conversations in Japan,Yes,Yes,No,No,No,No,No,Yes,No
Section 9,Everyday Conversations & Real-Life Situations,40,"At School, Work & the Office: Professional & Academic Japanese",Yes,Yes,No,No,No,No,No,Yes,No
Section 9,Everyday Conversations & Real-Life Situations,41,Making Phone Calls & Sending Texts: Digital Communication in Japanese,Yes,Yes,No,No,No,No,No,Yes,No
Section 9,Everyday Conversations & Real-Life Situations,42,"Health, Body & Emergencies: Speaking with Doctors & Getting Help",Yes,Yes,No,No,No,No,No,Yes,No
Section 9,Everyday Conversations & Real-Life Situations,43,Conversation Roleplay: Practice Real Dialogues in 5 Daily Scenarios,Yes,Yes,No,No,No,No,No,Yes,No
Section 10,Advanced Grammar & Keigo: Formal Japanese,44,"Introduction to Keigo: Teineigo, Sonkeigo & Kenjougo",Yes,Yes,No,No,No,No,No,Yes,No
Section 10,Advanced Grammar & Keigo: Formal Japanese,45,"Causative, Passive & Causative-Passive Verb Forms",Yes,Yes,No,No,No,No,No,Yes,No
Section 10,Advanced Grammar & Keigo: Formal Japanese,46,Advanced Particles & Conjunctions: Expressing Complex Ideas,Yes,Yes,No,No,No,No,No,Yes,No
Section 10,Advanced Grammar & Keigo: Formal Japanese,47,Business Japanese: Writing Formal Emails & Reports,Yes,Yes,No,No,No,No,No,Yes,No
Section 10,Advanced Grammar & Keigo: Formal Japanese,48,Advanced Grammar Mastery Test: Formal Language & Complex Patterns,Yes,Yes,No,No,No,No,No,Yes,No
Section 11,Advanced Kanji & Reading Comprehension (JLPT N4-N3),49,JLPT N4 Kanji: 150 Key Characters for Intermediate Learners,Yes,Yes,No,No,No,No,No,Yes,No
Section 11,Advanced Kanji & Reading Comprehension (JLPT N4-N3),50,Kanji Compounds: Building Vocabulary Through Word Combinations,Yes,Yes,No,No,No,No,No,Yes,No
Section 11,Advanced Kanji & Reading Comprehension (JLPT N4-N3),51,Reading Authentic Japanese Texts: News Headlines & Social Media,Yes,Yes,No,No,No,No,No,Yes,No
Section 11,Advanced Kanji & Reading Comprehension (JLPT N4-N3),52,Reading Manga & Anime Scripts: Informal Language & Slang,Yes,Yes,No,No,No,No,No,Yes,No
Section 11,Advanced Kanji & Reading Comprehension (JLPT N4-N3),53,Advanced Reading Comprehension: Full Passage Analysis & JLPT Prep,Yes,Missing,No,No,No,No,No,Yes,No
Section 12,Course Wrap-Up & Your Japanese Learning Journey Ahead,54,"Full Course Review: Key Grammar, Vocabulary & Kanji Recap",Yes,Missing,No,No,No,No,No,Yes,No
Section 12,Course Wrap-Up & Your Japanese Learning Journey Ahead,55,"JLPT N5 Mock Exam: Vocabulary, Reading & Listening Practice",Yes,Missing,No,No,No,No,No,Yes,No
Section 12,Course Wrap-Up & Your Japanese Learning Journey Ahead,56,"How to Continue: Recommended Resources, Apps & Immersion Strategies",Yes,Missing,No,No,No,No,No,Yes,No
Section 12,Course Wrap-Up & Your Japanese Learning Journey Ahead,57,Congratulations & Final Message from the Instructor,Yes,Missing,No,No,No,No,No,Yes,No